timestamp;message
1582650758212;setting manual 0 0
1582650758860;setting manual 0 0
1582650759859;setting manual 0 0
1582650760861;setting manual 0 0
1582650761556;
1582650761856;00;100;100
1582650762862;01;100;100
1582650763862;1;100;100
1582650764858;1;100;100
1582650765857;1;100;100
1582650766856;1;100;100
1582650767856;1;100;100
1582650768857;1;100;100
1582650769857;1;100;100
1582650770857;2;100;100
1582650771857;2;100;100
1582650771859;
1582650772856;00;200;100
1582650773860;40;200;100
1582650774856;01;200;100
1582650775856;1;200;100
1582650776856;1;200;100
1582650777856;1;200;100
1582650778857;1;200;100
1582650779856;1;200;100
1582650780856;2;200;100
1582650781857;2;200;100
1582650781858;
1582650782858;00;0;200
1582650783857;01;0;200
1582650784857;1;0;200
1582650785858;1;0;200
1582650786858;1;0;200
1582650787858;1;0;200
1582650788860;1;0;200
1582650789861;1;0;200
1582650790859;1;0;200
1582650791860;1;0;200
1582650792860;1;0;200
1582650793861;1;0;200
1582650794862;1;0;200
1582650795861;2;0;200
1582650796864;2;0;200
1582650797862;2;0;200
1582650798863;2;0;200
1582650799857;2;0;200
1582650800859;2;0;200
1582650801857;2;0;200
1582650802859;2;0;200
1582650803857;2;0;200
1582650804858;setting manual 0 0
1582650805857;setting manual 0 0
1582650806873;setting manual 0 0
1582650807859;setting manual 0 0
1582650808858;setting manual 0 0
1582650809861;setting manual 0 0
1582650810859;setting manual 0 0
1582650811860;setting manual 0 0
1582650812860;setting manual 0 0
1582650813858;setting manual 0 0
